Num,No.,Source,Name,Alternate,Part Of,Lat,Long,Marathi,Marathi Alternate,Type,Nearby Village,Dist,State,Type,Height-Sealevel,Height Bottom,Nearby Village,Dist,State
413,25,SK,Kawlya,Kavlya,,73.607902,18.139433,???????,?????,??????,"??????, ???????",????,??????????,Mountain,647,500,"Mazheri, Parmachi",Pune,Maharashtra
292,58,WS,Ramgad,Ramgad Fort,Karnataka Bellow Ghat,73.6116922,16.2373893,,,,,,,,,,,,
339,105,WS,Kharepatan,Kharepatan Fort,,73.6185373,16.5572278,,,,,,,,,,,,
336,102,WS,Kavnai,Kavnai Fort,,73.619341,19.773055,?????,?????,??????,?????,?????,??????????,Mountain,914,305,Kavnai,Nashik,Maharashtra
433,45,SK,Chandragad,Dhavalgad,,73.619004,18.001619,???????,?????,??????,????,?????,??????????,Mountain,690,450,Dhavale,Raigad,Maharashtra
313,79,WS,Mohangad,Mohangad Fort (Durgadicha Killa),Constructed,73.6206587,18.0776679,,,,,,,,,,,,
259,25,WS,Torna,Prachandagad,Constructed,73.622327,18.275145,?????,????????,??????,????????? ???? -,????,??????????,Mountain,1403,650,Welhe,Pune,Maharashtra
274,40,WS,Barwai,Barwai Fort,,73.6241591,17.5195208,,,,,,,,,,,,
415,27,SK,Kulang,None,,73.64023,19.590194,?????,?????,??????,?????????,?????,??????????,Mountain,1475,550,Kulangwadi,Nashik,Maharashtra
499,111,SK,Madangad,None,Constructed,73.649391,19.589345,?????,?????,??????,"????????, ?????????",?????,??????????,Mountain,1470,650,"Ambevadi, Kulangvadi",Nashik,Maharashtra
458,70,SK,Durg,None,,73.649422,19.219583,?????,?????,??????,?????????,????,??????????,Mountain,1175,400,Durgwadi,Pune,Maharashtra
394,6,SK,Alang,Alang Fort,,73.660677,19.58288,????,?????,??????,?????,???????,??????????,Mountain,1480,640,Udhavne,Ahmednagar,Maharashtra
510,122,SK,Yeshwantgad-Redi,Yasavantgad,Karnataka Bellow Ghat,73.665658,15.752896,???????-????,?????,??????????,????,??????????,??????????,Seaside,0,50,Redi,Sindhudurg,Maharashtra
448,60,SK,Dhakoba,None,,73.672091,19.238731,??????,?????,??????,??????,????,??????????,Mountain,1264,350,Amboli,Pune,Maharashtra
508,120,SK,Morghan,None,,73.678308,19.690354,?????,?????,??????,??????,?????,??????????,Mountain,1052,300,Kharigav,Nashik,Maharashtra
236,2,WS,Rajgad,"Murumbdev, Nashibshahgad",Constructed,73.681612,18.246552,?????,"?????????, ?????????",??????,???????,????,??????????,Mountain,1376,550,Gunjavne,Pune,Maharashtra
343,109,WS,Kolakewadi,Kolakewadi Fort,,73.68495,17.4891691,,,,,,,,,,,,
441,53,SK,Jivghan,Jivdhan,Won,73.68556,19.276755,?????,?????,??????,?????,????,??????????,Mountain,1145,350,Ghatghar,Pune,Maharashtra
338,104,WS,Terekhol,Terekhol Fort,,73.686476,15.721441,???????,?????,??????????,???????,????? ????,????,Seaside,50,10,Terekhol,North Goa,Goa
249,15,WS,Prachitgad,Prachitgad,Constructed,73.6911392,17.2266028,,,,,,,,,,,,
437,49,SK,Jangli Jaigad,None,,73.693637,17.453404,????? ????,?????,??????,????,??????,??????????,Mountain,1029,300,Navje,Satara,Maharashtra
245,11,WS,Vasota,Vyaghragad,Constructed,73.697277,17.663403,??????,?????????,??????,"???????, ??? ???????",??????,??????????,Mountain,1165,430,"Bamnoli, Met Indavli",Satara,Maharashtra
511,123,SK,Ratangad,None,,73.701812,19.498902,?????,?????,??????,???????,???????,??????????,Mountain,1295,450,Ratanwadi,Ahmednagar,Maharashtra
496,108,SK,Bhairavgad-Moroshi,Saranggad,Constructed,73.714259,19.318473,??????-??????,???????,??????,??????,????,??????????,Mountain,864,400,Moroshi,Thane,Maharashtra
312,78,WS,Raireshwar,Raireshwar Fort/Plateau / Temple,,73.7206918,18.0463892,,,,,,,,,,,,
223,223,SB,Vishalgad,"Khilkhila, Khilgila, Sakkarlana, Khelna,Khilna",Karnataka Bellow Ghat,73.742866,16.905195,???????,"???????, ???????, ?????????, ?????",??????,??????,?????????,??????????,Mountain,1100,800,Gajapur,Kolhapur,Maharashtra
417,29,SK,Kenjalgad,None,,73.745629,18.025294,???????,?????,??????,"??????, ?????",??????,??????????,Mountain,1295,350,"Korle, Khavali",Satara,Maharashtra
238,4,WS,Kamalgad,Kamalgad,Constructed,73.745973,17.96844,?????,?????,??????,???????,??????,??????????,Mountain,1385,425,Nandgane,Satara,Maharashtra
436,48,SK,Chavand,"Jund, Prasannagad",,73.748336,19.236711,?????,"????, ?????????",??????,?????,????,??????????,Mountain,1065,250,Chavand,Pune,Maharashtra
317,83,WS,Jangali Jaigad,Jangali Jaigad Fort,,73.7536695,17.5263553,,,,,,,,,,,,
546,158,SK,Sinhagad,Kondhana,,73.755877,18.366317,??????,???????,??????,????????,????,??????????,Mountain,1325,450,Atkarwadi,Pune,Maharashtra
556,168,SK,Hatgad,None,,73.76055,20.542493,?????,?????,??????,?????,?????,??????????,Mountain,1114,150,Hatgad,Nashik,Maharashtra
469,81,SK,Nimgiri,None,,73.773513,19.295636,???????,?????,??????,???????,????,??????????,Mountain,1108,200,Nimgiri,Pune,Maharashtra
153,153,SB,Harishchandragad,,Constructed,73.775597,19.39257,???????????,?????,??????,????????,???????,??????????,Mountain,1424,700,Khireshwar,Ahmednagar,Maharashtra
326,92,WS,Hadsar,Parvatgad,Won,73.80245,19.270649,????,?????,??????,????????,????,??????????,Mountain,1028,300,Hadsarwadi,Pune,Maharashtra
391,3,SK,Achala,Achalagirigad,Won,73.815087,20.431581,????,?????,??????,"??????, ??????",?????,??????????,Mountain,1100,350,"Jambhali, Pimpri",Nashik,Maharashtra
422,34,SK,Gaganbavda,None,,73.816141,16.545586,????????,?????,??????,????????,?????????,??????????,Mountain,691,200,Gaganbavda,Kolhapur,Maharashtra
290,56,WS,Gagan Gad,"Gagan Gad, Gaganbawada",,73.8182885,16.5432537,,,,,,,,,,,,
311,77,WS,Vichitragad Rohida,Vichitragad Fort Rohida,,73.8208089,18.1020159,,,,,,,,,,,,
521,133,SK,Rohida,"Vichitragad, Rohideshwar",Won,73.821367,18.102938,??????,?????????,??????,?????????,????,??????????,Mountain,1116,300,Bajarwadi,Pune,Maharashtra
329,95,WS,Patta,Patta fort,,73.833314,19.709775,?????,?????,??????,????????,???????,??????????,Mountain,1390,250,Kokanwadi,Ahmednagar,Maharashtra
396,8,SK,Avandh,Aundha,,73.837045,19.7467,?????,?????,??????,???????,?????,??????????,Mountain,1320,450,Girwadi,Nashik,Maharashtra
286,52,WS,Shivgad,"Shivgad Fort, Dajipur",,73.8423809,16.4128898,,,,,,,,,,,,
514,126,SK,Rangna,Prasiddhagad,Won,73.846086,16.080903,??????,??????????,??????,????????,?????????,??????????,Mountain,679,25,Chikevadi,Kolhapur,Maharashtra
327,93,WS,Shivneri,Shivneri Fort,,73.8562858,19.1934786,,,,,,,,,,,,
399,11,SK,Ahivant,Ahivantgad,Won,73.860364,20.416555,??????,?????,??????,??????????,?????,??????????,Mountain,1228,350,Ahivantwadi,Nashik,Maharashtra
353,119,WS,Sangramdurg,Sangramdurg Fort Chakan,,73.862526,18.7567981,,,,,,,,,,,,
435,47,SK,Chakan,Sangramdurg,,73.862552,18.756963,????,????????????,??????,????,????,??????????,Ground,450,10,Chakan,Pune,Maharashtra
242,8,WS,Pandavgad,Pandavgad,Won,73.863306,17.998342,???????,?????,??????,?????????,??????,??????????,Mountain,1285,350,Gundewadi,Satara,Maharashtra
457,69,SK,Dategad,None,,73.864437,17.379259,??????,?????,??????,"????, ?????",??????,??????????,Mountain,1027,250,"Patan, Yerad",Satara,Maharashtra
284,50,WS,Pawangad,Pawangad fort,,73.8975221,17.8639791,,,,,,,,,,,,
328,94,WS,Aad,Aad Fort,,73.910651,19.741177,,,,,,,,,,,,
537,149,SK,Sajjangad,"Ashvalayangad, Navarastara, Parali",,73.911725,17.649375,???????,"??????????, ????????, ????",??????,????,??????,??????????,Mountain,980,270,Parali,Satara,Maharashtra
283,49,WS,Vairaatgad,Vairatgad,Constructed,73.918945,17.877992,,,,,,,,,,,,
544,156,SK,Salher,None,,73.945885,20.7222,???????,?????,??????,"???????, ???????",?????,??????????,Mountain,1565,700,"Salher, Waghambe",Nashik,Maharashtra
500,112,SK,Manasantoshgad,None,,73.965538,16.049366,?????????,?????,??????,"???????, ????????",??????????,??????????,Mountain,617,450,"Shivapur, Shirshinge",Sindhudurg,Maharashtra
445,57,SK,Dubera,None,,73.968413,19.790889,??????,?????,??????,??????,?????,??????????,Mountain,800,200,Dubera,Nashik,Maharashtra
405,17,SK,Kanhera,None,,73.968495,20.416762,???????,?????,??????,??????????,?????,??????????,Mountain,1100,250,Kanherwadi,Nashik,Maharashtra
501,113,SK,Manohargad,Manohar Mansantosh Gad,Won,73.969349,16.050766,???????,?????,??????,"???????, ????????",??????????,??????????,Mountain,680,500,"Shivapur, Shirshinge",Sindhudurg,Maharashtra
235,1,WS,Purandar,Purandargad,Won,73.974859,18.279542,??????,?????,??????,?????????,????,??????????,Mountain,1390,450,Narayanpur,Pune,Maharashtra
289,55,WS,Mahadev Gad,Mahadev Gad (Valley ),,73.9768805,15.9709592,,,,,,,,,,,,
281,47,WS,Subhanmangal,Subhanmangal Fort,,73.97747,18.155068,????????,?????,??????,?????,??????,??????????,Ground,810,5,Shirwal,Satara,Maharashtra
162,162,SB,Vajragad,Rudramal,Karnataka 1,73.989173,18.284096,??????,????????,??????,?????????,????,??????????,Mountain,1390,450,Narayanpur,Pune,Maharashtra
392,4,SK,Ajinkyatara,Azamtara,,73.994958,17.672606,???????????,???????,??????,??????,??????,??????????,Mountain,990,300,Satara,Satara,Maharashtra
258,24,WS,Jadhavgadh,"Fort Jadhavgadh, Pune",,74.002532,18.395741,,,,,,,,,,,,
465,77,SK,Dhodap,None,,74.030809,20.384765,????,?????,??????,?????,?????,??????????,Mountain,1451,550,Hatti,Nashik,Maharashtra
334,100,WS,DHODAP KILLA,DHODAP KILLA,,74.0311736,20.3848329,,,,,,,,,,,,
280,46,WS,Vandan,Vandan Fort,Won,74.034649,17.838906,????,?????,??????,"???????, ???????",??????,??????????,Mountain,1170,340,"Belmachi, Banwadi",Satara,Maharashtra
478,90,SK,Pargad,None,Constructed,74.044933,15.816947,?????,?????,??????,??????,??????????,??????????,Mountain,738,500,Namkhol,Sindhudurg,Maharashtra
243,9,WS,Chandan,Chandan,Won,74.044944,17.847071,????,?????,??????,"???????, ???????",??????,??????????,Mountain,1003,320,"Belmachi, Banwadi",Satara,Maharashtra
503,115,SK,Malhargad,Sonori,,74.04958,18.411956,????????,??????,??????,??????,????,??????????,Mountain,800,75,Sonori,Pune,Maharashtra
507,119,SK,Mulher,None,,74.062078,20.751298,???????,?????,??????,???????,?????,??????????,Mountain,1310,460,Mulher,Nashik,Maharashtra
509,121,SK,Mora,None,,74.067249,20.753546,????,?????,??????,???????,?????,??????????,Mountain,1295,450,Mulher,Nashik,Maharashtra
309,75,WS,Pemgiri,Pemgiri Fort,,74.0929955,19.4647293,,,,,,,,,,,,
28,28,SB,Panhalgad,"Panhala, Parnalparvat",Won,74.109006,16.810786,????????,"???????, ???????????",??????,???????,?????????,??????????,Mountain,955,300,Panhala,Kolhapur,Maharashtra
411,23,SK,Kanchan,"Kanchana,Kanchanagad",Constructed,74.112305,20.374399,?????,?????,??????,??????,?????,??????????,Mountain,1134,200,Kheldari,Nashik,Maharashtra
269,35,WS,Kalyangad,Nandgiri,,74.126863,17.779151,????????,???????,??????,????,??????,??????????,Mountain,1078,200,Palashi,Satara,Maharashtra
